,id,orig,dest,all,male,female,a16,a25,a35,a50,a65,home,train,bus,car,pass,bicycle,walk,other
21415,638740,E02001078,E02001070,63,28,35,5,17,27,12,2,0,0,9,30,6,9,8,1
21416,641515,E02001084,E02001260,63,32,31,36,17,5,5,0,0,0,26,30,4,2,1,0
21417,643558,E02001089,E02001260,63,36,27,18,18,19,7,1,0,1,8,46,3,1,2,2
21418,2443526,E02006902,E02001178,63,30,33,8,32,18,5,0,0,3,8,6,2,5,39,0
21419,627653,E02001046,E02001059,64,23,41,9,18,19,16,2,0,0,15,35,9,1,4,0
21420,628019,E02001047,E02001055,64,42,22,7,11,21,24,1,0,0,7,39,9,2,5,2
21421,629551,E02001051,E02001059,64,29,35,8,7,24,21,4,0,0,11,39,11,0,2,1
21422,631784,E02001059,E02001241,64,38,26,11,15,25,13,0,0,0,33,24,1,1,5,0
21423,636166,E02001072,E02001066,64,24,40,2,37,15,10,0,0,0,19,31,1,10,2,1
21424,638752,E02001078,E02001082,64,15,49,3,24,18,18,1,0,0,5,37,5,7,10,0
21425,638827,E02001078,E02001192,64,33,31,5,11,26,21,1,0,1,4,23,5,3,27,1
21426,640891,E02001083,E02001087,64,22,42,21,25,13,5,0,0,1,4,18,3,9,29,0
21427,640901,E02001083,E02001097,64,32,32,5,39,17,2,1,0,1,16,39,4,1,3,0
21428,644353,E02001091,E02001277,64,39,25,13,17,22,8,4,0,2,4,44,4,5,2,3
21429,644534,E02001091,E02006912,64,27,37,11,24,16,11,2,0,16,22,23,1,1,0,1
21430,2447640,E02006913,E02006914,64,38,26,21,38,4,0,1,0,0,12,2,0,1,49,0
21431,2448133,E02006915,E02001184,64,25,39,11,29,19,5,0,0,11,13,28,2,6,2,2
21432,627729,E02001046,E02001155,65,37,28,9,13,25,15,3,0,0,24,30,5,1,5,0
21433,628529,E02001048,E02001184,65,41,24,3,21,22,15,4,0,13,7,42,0,1,1,1
21434,629224,E02001050,E02001062,65,35,30,4,20,28,13,0,0,4,24,31,2,2,2,0
21435,633580,E02001065,E02001200,65,21,44,14,21,20,10,0,0,0,36,27,1,1,0,0
21436,636293,E02001072,E02001261,65,38,27,8,27,23,6,1,0,1,6,31,5,7,14,1
21437,640008,E02001081,E02001063,65,27,38,3,21,28,12,1,0,0,15,32,2,16,0,0
21438,642596,E02001087,E02001178,65,31,34,2,22,25,11,5,0,6,14,40,2,2,1,0
21439,643049,E02001088,E02001093,65,43,22,14,14,19,18,0,0,0,8,32,6,9,9,1
21440,643408,E02001089,E02001063,65,26,39,7,19,23,14,2,0,0,22,35,3,2,3,0
21441,643762,E02001089,E02006914,65,40,25,5,29,18,11,2,0,13,19,26,2,3,2,0
21442,645069,E02001093,E02001260,65,42,23,15,20,22,6,2,0,1,11,45,3,2,2,1
21443,630266,E02001053,E02001051,66,11,55,3,6,35,22,0,0,0,7,16,2,1,38,2
21444,633427,E02001064,E02006917,66,26,40,18,22,17,7,2,0,2,48,12,0,0,3,1
21445,637549,E02001075,E02001200,66,28,38,12,23,29,2,0,0,2,38,20,1,3,1,1
21446,639178,E02001079,E02001083,66,28,38,9,11,30,14,2,0,0,13,20,5,4,23,1
21447,639591,E02001080,E02001082,66,24,42,18,19,19,10,0,0,2,11,13,1,1,38,0
21448,640472,E02001082,E02001095,66,25,41,14,30,13,9,0,0,0,17,39,4,4,2,0
21449,643854,E02001090,E02001094,66,36,30,7,16,25,17,1,0,1,27,22,6,5,5,0
21450,646267,E02001097,E02001090,66,29,37,8,9,31,17,1,0,0,18,40,2,4,1,1
21451,629314,E02001050,E02001184,67,47,20,4,40,21,2,0,0,4,15,41,2,3,2,0
21452,632673,E02001062,E02006917,67,39,28,18,29,19,1,0,0,1,27,11,3,1,23,1
21453,633992,E02001066,E02001261,67,30,37,49,11,5,2,0,0,0,41,14,4,4,1,3
21454,636653,E02001073,E02001178,67,40,27,2,20,32,12,1,0,1,15,31,3,16,1,0
21455,640098,E02001081,E02001184,67,34,33,3,36,20,8,0,0,4,3,47,0,8,4,1
21456,641017,E02001083,E02001260,67,39,28,16,35,11,3,2,0,0,21,40,3,2,1,0
21457,642602,E02001087,E02001184,67,44,23,3,35,22,7,0,0,6,7,46,2,6,0,0
21458,643048,E02001088,E02001092,67,27,40,23,14,13,17,0,0,0,15,29,7,0,15,1
21459,643171,E02001088,E02001283,67,24,43,15,17,23,10,2,0,0,14,44,7,1,0,1
21460,628795,E02001049,E02001047,68,3,65,12,5,29,18,4,0,0,2,30,0,1,34,1
21461,636599,E02001073,E02001095,68,21,47,4,17,28,16,3,0,0,5,53,1,8,1,0
21462,637075,E02001074,E02001089,68,34,34,14,20,25,8,1,0,0,19,40,3,2,4,0
21463,638733,E02001078,E02001063,68,28,40,10,23,23,11,1,0,2,17,34,4,8,2,1
21464,641878,E02001085,E02001199,68,21,47,20,12,21,15,0,0,0,2,19,7,1,31,8
21465,645649,E02001095,E02001096,68,23,45,10,20,28,9,1,0,0,18,32,7,4,6,1
21466,628430,E02001048,E02001062,69,47,22,3,19,33,12,2,0,11,8,40,3,3,2,2
21467,630605,E02001055,E02001050,69,18,51,6,16,23,24,0,0,0,17,38,7,3,4,0
21468,631663,E02001059,E02001066,69,30,39,8,21,24,16,0,0,0,32,26,5,1,5,0
21469,633614,E02001065,E02001241,69,41,28,7,20,24,18,0,0,1,28,36,1,2,1,0
21470,638759,E02001078,E02001089,69,34,35,16,12,28,9,4,0,0,23,40,0,1,3,2
21471,628799,E02001049,E02001051,70,16,54,9,10,24,27,0,0,0,7,44,6,2,9,2
21472,629481,E02001050,E02006913,70,48,22,8,26,19,16,1,0,4,16,37,1,2,9,1
21473,633866,E02001066,E02001070,70,31,39,16,17,30,6,1,0,0,6,22,3,6,32,1
21474,636291,E02001072,E02001259,70,45,25,6,25,30,9,0,0,0,3,20,1,15,30,1
21475,639174,E02001079,E02001079,70,21,49,11,17,21,18,3,0,1,8,20,5,3,33,0
21476,641412,E02001084,E02001095,70,31,39,9,23,23,15,0,0,0,10,44,2,8,4,2
21477,643170,E02001088,E02001282,70,34,36,13,23,19,15,0,0,2,17,37,5,5,2,2
21478,645875,E02001095,E02006902,70,28,42,21,14,20,13,2,0,8,34,23,2,0,3,0
21479,627297,E02001045,E02001046,71,22,49,12,20,25,13,1,0,3,11,35,4,0,15,3
21480,628348,E02001047,E02006913,71,46,25,10,17,26,17,1,0,1,15,36,5,2,4,8
21481,639171,E02001079,E02001076,71,32,39,22,16,17,13,3,0,1,9,27,8,5,20,1
21482,645252,E02001093,E02006912,71,33,38,12,26,20,13,0,0,12,20,33,3,1,1,1
